Geneid	control_RPF_3	Fmr1_RNA_2	Fmr1_RPF_1	control_RPF_2	Fmr1_RNA_3	Fmr1_RNA_4	control_RNA_3_x	Fmr1_RPF_2	control_RNA_2	control_RNA_3_y	Fmr1_RNA_1	control_RNA_1	Fmr1_RPF_3	control_RPF_1		
Prss42	0	2	0	0	0	0	0	0	1	0	0	0	0	0		
Pank3	264	5110	279	342	3987	3783	4045	298	4600	4045	4202	4351	366	252		
Lacc1	9	87	5	9	83	102	70	12	71	70	90	82	12	5		
Rnf113a1	36	106	49	69	76	106	65	48	94	65	93	85	59	35		
Krt25	0	4	2	0	1	5	1	1	6	1	6	3	4	0		
Actr5	40	120	27	41	83	96	67	44	100	67	114	123	43	21		
Kndc1	429	1921	458	619	1727	1937	1657	469	1601	1657	1850	1716	648	424		
Alkbh5	123	1950	112	151	1549	1550	1520	118	1689	1520	1618	1717	152	113		
Sowahc	45	441	43	52	364	384	359	53	420	359	347	434	61	41		
Ccdc84	6	55	5	11	24	27	13	13	28	13	45	44	14	10		
Las1l	245	562	203	266	366	360	441	309	493	441	486	491	299	214		
Arl11	0	1	0	0	4	8	3	1	8	3	4	4	0	1		
D930020B18Rik	0	7	0	0	3	16	5	1	2	5	7	5	0	1		
Numa1	420	1553	479	633	1280	1271	1264	377	1339	1264	1340	1417	668	335		
Arr3	3	12	3	2	11	5	3	2	10	3	11	9	3	3		
Cd96	0	1	0	0	1	3	0	0	0	0	1	0	1	0		
Scn4a	4	1	1	6	1	0	1	7	3	1	1	0	6	3		
Ferd3l	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
H3c15	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Ces2c	0	0	0	0	0	0	0	0	0	0	0	0	0	1		
Tpte	0	0	0	0	1	1	1	0	3	1	0	1	0	0		
Dis3	42	329	64	68	258	231	239	67	325	239	260	272	79	52		
Tmtc2	23	425	20	19	303	367	324	46	312	324	358	373	34	27		
Gpr157	0	63	1	3	37	60	37	2	41	37	47	35	0	3		
Sh3pxd2b	49	599	59	91	466	492	330	57	490	330	565	502	89	42		
Elfn1	64	605	92	110	496	542	380	95	518	380	475	451	137	76		
Fitm2	63	322	68	88	255	358	243	79	237	243	310	289	69	61		
Plcxd3	159	693	165	199	623	649	608	171	702	608	592	677	226	176		
Vash1	44	1785	30	39	1542	1405	1261	52	1815	1261	1654	1963	69	31		
Oasl1	0	2	1	1	1	2	1	1	4	1	5	7	1	0		
Cabp7	33	386	15	33	328	393	299	22	342	299	280	348	28	21		
Hykk	19	81	5	10	61	67	67	25	59	67	68	75	5	11		
Gldn	2	28	3	11	36	32	28	11	36	28	28	42	13	2		
Gpr156	0	21	1	0	15	21	16	0	11	16	27	15	3	0		
Mrgprb2	0	0	0	0	0	0	0	1	0	0	0	0	1	0		
Kcnq3	150	10094	157	195	7666	8575	8540	141	8147	8540	8864	8140	217	134		
Dner	1541	3091	2035	2682	3266	3132	3428	1773	3157	3428	2621	3222	2717	1592		
Clmp	51	639	62	88	585	725	522	55	713	522	585	620	84	57		
Plekha4	3	18	1	4	22	25	14	3	19	14	19	19	7	3		
Fnip1	345	2533	271	411	2052	1918	2253	399	2322	2253	2207	2158	422	344		
Spata18	4	11	2	2	10	11	5	1	8	5	22	13	3	0		
Slc25a31	7	24	2	2	1	0	7	9	1	7	12	3	5	5		
Tbcc	166	401	228	268	377	344	315	200	469	315	322	457	278	150		
Unc119b	98	640	55	80	432	465	445	86	434	445	569	413	101	69		
Serpinb1b	5	35	8	8	25	27	31	10	35	31	41	44	4	8		
Fam76b	42	438	26	34	355	305	323	42	441	323	390	444	44	37		
Srp68	445	776	400	550	516	535	756	459	582	756	653	612	572	408		
Slc25a12	1237	3438	1125	1447	2629	3218	2680	1326	2798	2680	3082	2889	1436	1216		
Rtn4rl1	130	701	153	186	579	566	626	146	689	626	579	629	211	161		
Hsd3b2	0	11	0	0	3	1	0	0	2	0	4	0	0	0		
Prss35	8	102	11	20	84	73	71	10	76	71	86	74	19	16		
Fastkd2	59	530	48	74	411	421	300	56	443	300	431	476	50	58		
Ostm1	180	1695	164	198	1457	1589	1496	186	1540	1496	1494	1367	256	207		
Anapc2	565	743	546	725	599	589	811	606	602	811	644	674	766	526		
Trim10	0	2	0	0	14	8	5	1	10	5	7	6	0	0		
Ulbp1	1	2	0	0	0	3	1	0	1	1	2	1	0	1		
Dazap2	216	2077	191	281	1709	2130	1685	248	1659	1685	1897	1616	242	210		
Nars2	68	345	55	91	286	268	284	63	356	284	315	323	73	69		
Olfr5	0	0	0	0	0	0	0	0	0	0	0	0	0	1		
Lrrc58	223	7915	178	251	5979	6477	6859	248	6015	6859	6628	5575	250	237		
Olfr9	0	0	0	0	0	0	0	1	0	0	0	0	0	0		
Olfr545	0	1	0	0	0	0	1	0	0	1	0	0	1	0		
Mtx3	78	1533	49	74	1104	1171	1058	73	1227	1058	1278	1203	66	53		
Creld1	358	1347	263	379	1059	1141	996	331	1008	996	1176	1129	338	338		
Chchd4	113	807	95	165	693	729	583	113	751	583	664	784	132	111		
Camk1	266	1244	244	322	910	1155	850	267	1096	850	1056	970	331	269		
Olfr110	0	0	0	0	0	0	0	0	0	0	1	0	0	0		
Actr2	1470	7268	1495	1915	4916	4998	6849	1643	5745	6849	6119	5391	2039	1419		
Zfp11	20	269	20	34	152	179	173	33	185	173	223	175	32	34		
Crebrf	107	2738	72	104	2287	2241	2280	96	2235	2280	2441	2048	86	97		
Tcp11l2	213	450	192	247	378	372	439	269	426	439	413	438	251	234		
Ercc6l	7	12	4	8	9	10	16	2	9	16	13	11	4	4		
Tmem64	62	2507	55	97	1811	1888	1885	53	1930	1885	2039	1739	58	52		
Acsm5	0	5	0	1	7	5	2	1	1	2	2	1	0	1		
Bnip5	13	196	14	27	208	214	157	21	196	157	190	217	22	13		
Agmo	25	137	30	49	102	120	87	47	108	87	123	81	49	46		
Jph4	251	5762	241	348	4569	5111	4424	263	4561	4424	5421	4957	323	213		
Cc2d1b	70	383	49	66	272	326	267	67	351	267	314	344	90	59		
Abca13	3	5	3	0	8	5	7	1	11	7	7	7	0	3		
Dera	14	67	11	18	52	65	59	10	79	59	52	74	19	19		
Dnajc11	277	1177	247	314	1066	1252	904	293	1162	904	1083	1205	330	228		
Mia3	741	4181	847	1151	3447	3767	3585	863	4156	3585	3558	3949	1236	770		
Myo1d	96	310	81	116	254	233	226	84	288	226	277	268	134	80		
C130074G19Rik	55	909	42	40	757	699	714	69	885	714	806	900	52	53		
Atxn7	12	715	14	31	431	529	434	19	515	434	627	513	36	21		
Onecut3	2	2	1	2	3	3	0	2	2	0	2	6	1	0		
Defb15	0	0	0	0	0	1	0	0	0	0	0	0	0	0		
Cndp1	1	1	1	1	5	5	7	2	3	7	1	3	1	1		
Olfr197	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr469	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr470	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Tmem26	1	15	0	1	22	14	6	0	6	6	10	15	1	1		
Mettl24	7	21	5	3	21	21	7	6	21	7	17	11	6	8		
Fbxl4	70	515	87	76	405	478	344	62	431	344	388	411	121	59		
Klhl17	71	345	56	81	311	311	265	71	327	265	318	331	97	69		
Ccdc73	1	223	0	2	182	152	169	2	213	169	215	220	0	1		
Cpped1	198	744	158	208	525	618	578	209	575	578	699	559	243	191		
Wiz	122	633	144	215	447	465	450	140	450	450	641	548	202	127		
Olfr250	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr199	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Zfp81	36	424	52	43	330	355	293	53	403	293	350	376	61	54		
Prpf8	1624	5256	1796	2544	3843	4201	3963	1728	4497	3963	4746	4896	2501	1614		
Hrh3	188	1643	142	173	1258	1170	1280	203	1026	1280	1534	1082	193	164		
Aldh1l2	28	136	19	32	99	108	69	17	134	69	126	113	14	13		
Prkab2	77	932	70	102	713	716	724	72	775	724	821	788	113	61		
Adm2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Spred3	78	853	71	120	570	668	518	75	538	518	758	651	126	58		
Slc38a7	85	603	74	101	448	556	510	89	434	510	607	437	90	83		
Tmod1	306	446	235	323	330	395	347	301	336	347	450	348	368	274		
Camk1g	220	596	222	248	436	556	405	235	505	405	534	531	308	205		
Spred2	107	1108	66	97	759	894	850	76	824	850	1036	854	110	60		
Tbc1d22b	120	940	127	163	756	860	685	155	753	685	839	842	164	137		
Adamts2	39	201	50	58	181	203	153	38	184	153	159	204	74	38		
Mslnl	0	0	0	0	1	0	0	0	1	0	0	0	6	0		
Olfr1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Spink10	0	55	2	0	36	31	38	0	47	38	46	45	0	2		
Arhgef37	4	38	3	6	35	32	34	2	30	34	30	30	1	2		
Antxrl	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
Gpr107	230	1207	210	287	1056	1046	924	233	1193	924	1081	1235	311	190		
Orai1	42	139	41	52	83	115	58	38	91	58	98	95	50	30		
Rtf1	382	1508	416	565	1136	1095	1235	421	1426	1235	1306	1471	574	381		
Rundc1	155	540	113	190	288	341	379	184	344	379	485	351	167	157		
Ufsp2	229	1005	187	270	774	962	716	269	897	716	972	894	285	230		
Sardh	40	293	28	29	221	274	255	40	203	255	267	230	41	32		
Mob3c	2	82	12	14	71	66	63	3	66	63	78	76	7	6		
Mob3b	19	309	25	25	295	310	232	32	307	232	264	278	29	21		
Tshz3	137	1241	137	182	1037	1082	918	131	1053	918	1034	1069	185	121		
Tmem65	320	4351	327	404	3404	3116	3734	367	3929	3734	3578	3606	436	341		
Tmem184c	125	1905	128	148	1648	1995	1484	152	1788	1484	1669	1741	168	120		
Nobox	0	2	0	0	0	0	0	0	0	0	0	0	1	0		
Mcph1	87	469	79	79	360	398	280	69	381	280	375	401	107	66		
Csnk1g1	76	1460	81	87	879	1067	930	98	1041	930	1258	1008	97	95		
Reep4	4	30	4	9	24	20	19	10	10	19	21	24	3	11		
Atg4b	246	1320	204	292	1059	1170	918	258	1031	918	1220	1188	253	238		
Fam117a	6	85	6	6	51	56	55	7	52	55	59	53	15	10		
Umodl1	1	3	4	3	2	6	0	3	3	0	5	5	4	1		
Gpc2	14	33	8	19	35	26	29	10	38	29	31	27	9	7		
Clec2e	0	0	0	0	0	1	1	0	1	1	1	0	0	0		
Nup153	262	1673	271	363	1287	1466	1184	301	1421	1184	1500	1552	370	244		
Olfr118	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Pramel7	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Smg5	135	1818	122	163	1247	1576	1291	168	1372	1291	1567	1450	153	119		
Fam124b	0	4	1	1	0	5	1	2	6	1	2	6	0	1		
A430033K04Rik	73	423	65	89	322	377	286	87	405	286	338	421	80	60		
Tph2	5	33	6	5	32	37	30	8	28	30	32	29	4	3		
Creb3l2	58	195	63	73	162	152	117	67	156	117	182	167	86	56		
Efhb	2	4	4	5	2	7	7	0	4	7	10	8	1	0		
Snapin	90	1012	111	133	877	1105	798	115	776	798	937	813	116	100		
Klhl31	1	0	0	0	1	5	3	2	2	3	1	4	0	2		
Klhl2	464	5459	522	596	4573	4662	4454	538	5053	4454	4714	5063	645	499		
Cyyr1	8	37	6	7	21	15	17	8	33	17	27	24	11	5		
Zfp365	542	16165	454	621	13955	15990	13807	575	13555	13807	14566	13496	621	512		
Lrrtm3	238	1924	208	283	1605	1916	1505	230	1683	1505	1658	1633	277	219		
Bicdl2	0	1	0	0	0	1	0	0	4	0	2	1	2	0		
Fam20a	61	294	62	62	198	233	191	61	180	191	260	213	63	35		
Imp4	99	330	86	124	265	296	260	110	239	260	312	271	112	91		
Hoxb2	0	0	0	0	0	0	0	0	0	0	0	0	0	1		
Nt5m	108	674	76	124	470	576	459	107	553	459	593	502	111	113		
H4c4	398	1082	295	408	1063	1094	815	377	1181	815	963	1046	377	347		
H3c3	21	36	28	30	40	24	24	21	58	24	34	44	24	24		
Gulo	0	1	1	1	1	0	1	0	0	1	2	1	0	1		
Slc38a9	93	854	85	99	583	635	624	107	746	624	726	731	106	100		
Pip4k2c	486	2063	398	564	1482	1607	1554	543	1536	1554	1916	1822	585	484		
Cnpy4	48	250	33	51	229	189	185	66	206	185	221	225	50	55		
Colec10	0	2	0	0	2	1	3	0	0	3	1	0	0	0		
Synb	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Cyp2ab1	0	0	0	0	0	0	0	0	1	0	1	1	0	0		
Tmem117	40	249	41	56	228	253	212	58	257	212	249	229	52	34		
Adck5	26	93	22	33	61	79	68	29	91	68	82	95	38	23		
Gpr26	210	2715	197	233	2194	2332	2026	217	2403	2026	2361	2354	256	193		
Dop1a	238	1753	254	344	1392	1523	1227	323	1646	1227	1515	1686	361	252		
Ifi205	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
Vps33b	112	310	117	169	228	271	217	140	256	217	268	302	154	128		
Cep128	16	184	16	15	158	200	145	16	162	145	147	174	23	8		
Serpinb9f	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vkorc1	68	118	59	66	76	100	68	63	79	68	100	76	66	64		
Tagln2	73	117	53	79	72	107	78	70	98	78	109	99	105	64		
Slc25a38	81	478	76	92	360	464	348	74	398	348	419	351	68	79		
Tbl3	139	445	158	194	411	417	322	184	443	322	415	490	220	153		
Wdr24	78	539	70	111	360	451	332	91	437	332	446	423	99	77		
Nfkbid	4	37	1	1	17	24	16	3	28	16	33	27	6	3		
Cds1	179	2401	168	229	1764	1900	1711	207	1992	1711	2138	1891	227	198		
Slc30a8	2	1	0	0	0	0	1	1	0	1	0	1	0	0		
Psd4	3	26	6	6	20	37	21	3	18	21	29	19	4	2		
Eif2b5	207	1278	203	251	992	1098	949	185	1138	949	1142	1167	235	177		
Foxe1	1	0	0	0	0	0	0	0	0	0	0	0	1	0		
Rhbdl2	2	18	4	2	8	7	4	1	3	4	9	9	1	2		
Dbpht2	0	2382	0	0	1954	1972	2008	0	2197	2008	1937	2116	0	0		
Slitrk5	306	2481	286	385	1886	2124	1851	326	2002	1851	2103	2005	400	281		
Txndc15	326	1108	287	386	1001	1048	927	352	1082	927	936	1073	436	260		
Slc9b2	4	20	4	8	41	32	33	9	42	33	37	47	8	8		
Mrps26	109	722	85	106	585	660	513	98	596	513	624	624	108	93		
Ninl	13	163	10	14	145	169	136	13	179	136	155	176	10	6		
Plaa	314	1593	349	435	1333	1369	1430	338	1683	1430	1395	1564	415	343		
Kcnh5	261	2206	265	336	1710	1766	1638	287	1763	1638	1930	1893	340	278		
Tubg1	191	622	170	209	437	553	412	191	420	412	569	475	231	200		
Nxph4	47	45	42	60	28	34	39	50	21	39	30	23	45	39		
Tcerg1l	33	207	40	44	144	188	131	29	177	131	190	194	44	30		
Actl9	0	3	0	0	1	0	1	0	1	1	2	1	0	0		
Hamp2	0	0	0	0	3	0	1	0	3	1	1	1	0	0		
Il20ra	4	17	0	2	18	15	8	1	12	8	10	10	1	1		
Zc3h12d	0	4	1	0	1	1	0	1	1	0	0	4	0	0		
B3gntl1	17	118	12	21	79	81	69	23	88	69	102	87	21	11		
Micall1	83	980	75	109	612	833	685	83	621	685	903	656	106	71		
Trpm8	0	1	1	1	3	6	3	0	6	3	4	6	1	0		
Bms1	148	766	177	196	494	561	512	173	744	512	649	699	231	168		
Arhgap11a	11	84	12	10	46	57	84	8	62	84	65	73	14	6		
Tmem30b	1	5	0	1	4	3	4	1	5	4	7	5	2	0		
Spink8	3	14	5	6	12	13	6	3	16	6	17	20	3	1		
Spinkl	0	0	0	0	0	2	0	0	1	0	0	0	0	0		
Obp2a	0	0	0	0	0	0	0	0	0	0	2	0	1	0		
Npas4	248	777	69	68	189	284	260	327	189	260	642	191	71	262		
Hrob	5	14	5	7	11	14	7	6	6	7	11	6	4	2		
Pde12	104	451	105	128	325	343	351	116	369	351	359	361	153	119		
Cmtm1	0	0	0	0	1	0	1	0	0	1	0	0	0	0		
Cdcp2	0	0	0	0	0	1	0	0	0	0	0	1	0	0		
Mysm1	87	1345	73	115	969	1001	907	72	1338	907	1126	1184	91	62		
Ap4e1	37	467	38	53	344	300	318	61	413	318	389	381	64	37		
Rgp1	51	838	54	64	537	601	570	57	550	570	712	663	80	40		
Atg2a	145	858	159	219	677	677	583	157	605	583	786	660	217	161		
Igsf3	85	488	125	153	569	520	484	102	628	484	414	609	185	78		
Emc3	316	1450	257	385	1122	1434	1115	331	1129	1115	1310	1236	360	279		
Tafa1	80	1380	136	154	1521	1799	1122	109	1690	1122	1180	1640	172	110		
Tmem150c	131	618	124	144	605	702	624	133	580	624	603	623	150	97		
Aldh5a1	276	2412	302	371	2041	2082	2142	292	2268	2142	2124	2288	456	261		
Ppp4r2	28	1005	30	41	806	755	884	43	885	884	873	818	50	35		
Acad9	302	830	264	328	695	731	631	313	741	631	704	777	365	274		
Isg20l2	27	398	21	33	284	282	278	35	336	278	329	324	31	21		
Cwh43	5	71	6	5	54	73	60	3	80	60	77	58	5	4		
Fbxo45	87	1906	80	114	1535	1488	1625	97	1653	1625	1708	1594	94	84		
Nav1	687	4482	803	995	3238	3557	3156	738	4022	3156	4200	4118	1093	610		
Cachd1	71	253	90	130	200	228	197	60	245	197	218	250	151	55		
Olfr117	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
Topbp1	93	654	107	126	516	499	486	116	634	486	557	584	141	99		
Hist1h4n	0	1	0	0	1	3	1	0	1	1	1	1	0	1		
H4c9	18	69	5	5	67	57	52	9	94	52	66	75	5	9		
Tfap2e	0	3	0	0	0	1	1	0	0	1	2	2	0	1		
Nomo1	679	2882	887	1105	2203	2534	2371	807	2188	2371	2612	2467	1239	681		
Fsd2	0	9	0	3	4	8	4	2	8	4	9	11	1	1		
Ubald1	160	515	128	183	353	436	354	187	280	354	482	322	208	174		
Terb1	3	52	1	3	23	22	16	6	30	16	22	28	5	2		
Eps8l2	5	20	1	10	10	15	7	3	15	7	26	30	7	3		
Tma7	74	675	18	73	725	705	583	54	844	583	613	848	36	60		
Wfdc21	0	1	0	0	1	1	0	0	0	0	2	1	0	0		
Cox14	269	686	184	244	513	612	548	294	529	548	616	550	257	217		
Kcnk18	0	1	0	0	0	1	0	0	0	0	1	1	1	0		
Btla	0	9	0	0	16	14	6	1	5	6	6	11	0	0		
Sytl1	1	12	0	3	9	11	5	1	8	5	7	4	3	0		
Tmem132c	31	221	34	38	234	270	180	37	211	180	181	282	33	20		
Gipc3	0	10	3	2	3	5	3	1	1	3	9	9	4	0		
Rcor1	90	796	62	104	568	547	583	92	698	583	696	658	79	86		
D030056L22Rik	14	505	18	27	389	388	418	19	464	418	393	391	24	16		
Baiap2l2	9	29	4	15	19	30	13	7	21	13	17	15	6	9		
Wdr60	47	295	63	72	200	204	188	51	233	188	226	247	104	34		
Rfxap	126	553	92	113	407	431	420	93	459	420	481	449	127	97		
Ripply3	0	0	4	0	3	3	0	1	1	0	4	1	0	0		
Pdzd3	0	8	0	4	9	4	2	1	14	2	11	7	0	0		
Coq4	77	401	67	100	343	389	305	82	327	305	357	339	105	78		
Slc23a3	4	9	2	1	9	21	4	4	11	4	6	10	6	6		
Mtmr10	51	589	58	69	472	491	467	66	500	467	551	531	86	38		
1700029I15Rik	0	15	0	0	7	2	3	0	9	3	7	6	0	0		
Tmprss12	0	0	0	2	0	0	0	1	0	0	0	0	0	0		
Arl5a	53	3372	59	72	2881	2636	2881	62	3121	2881	2893	2892	72	57		
Slc17a7	3999	27121	3626	4777	19485	22823	19938	4179	17974	19938	24815	19556	4858	3693		
Pramel4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Tnni3k	3	2	0	1	6	12	6	1	5	6	8	7	2	0		
Calhm6	0	2	1	3	3	2	2	1	4	2	4	4	2	1		
Hip1	143	1781	175	193	1437	1542	1397	149	1515	1397	1708	1604	204	129		
Zbtb40	38	332	34	24	214	210	219	37	289	219	334	254	38	17		
Arl6ip4	66	403	61	109	356	352	319	85	459	319	407	447	103	59		
Ccdc113	23	39	16	23	34	54	29	25	43	29	30	28	19	14		
Gpr75	9	315	23	25	259	271	186	23	245	186	276	265	18	24		
Cbr3	84	134	62	95	126	129	123	96	126	123	121	134	82	59		
Tmprss11e	0	0	0	0	0	1	0	0	1	0	1	0	0	0		
Ttc34	20	123	17	3	62	71	56	15	82	56	124	84	21	16		
Dcaf13	200	440	198	268	436	464	359	191	546	359	434	547	264	166		
Ska3	7	43	4	9	29	22	30	3	42	30	26	33	3	4		
Mgat2	105	879	101	112	822	735	795	128	847	795	878	777	89	86		
Evi2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Chd3	713	14864	905	1172	12612	13307	12464	805	13640	12464	13211	14489	1286	673		
Agtr1a	5	11	4	6	12	8	13	0	10	13	15	5	4	2		
Fpr-rs6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Arl4c	100	1435	69	106	1088	1251	973	95	1112	973	1137	1168	97	85		
Scgb2b26	0	0	0	0	0	0	0	0	0	0	0	1	0	1		
Cd209a	2	1	0	1	2	11	1	2	9	1	3	3	0	0		
Apcdd1	154	1022	133	164	656	588	515	156	916	515	882	920	158	127		
Olfr91	1	0	1	0	0	0	0	1	0	0	0	1	1	0		
Zfp771	99	420	75	118	349	385	289	83	394	289	369	300	113	85		
6430571L13Rik	12	100	8	30	58	93	69	9	75	69	91	92	13	13		
Crhbp	90	339	88	107	308	357	253	97	287	253	299	305	128	86		
Pdpr	154	603	129	190	488	535	535	104	534	535	576	563	191	149		
Eif5b	372	844	588	751	620	576	912	407	797	912	701	806	771	393		
Dock3	1731	9533	1705	2383	7368	7759	8087	1868	8478	8087	8244	8674	2280	1695		
Ranbp10	109	551	81	147	376	382	460	117	388	460	458	438	138	102		
Heg1	59	638	60	89	406	376	330	68	443	330	557	527	113	58		
Casc1	3	15	4	1	7	8	6	1	12	6	12	11	2	5		
Lig4	98	209	106	146	175	182	201	112	232	201	216	256	127	119		
Dusp4	56	175	20	36	103	162	130	28	118	130	171	132	39	39		
Asap3	18	118	14	29	82	83	60	17	89	60	94	89	18	21		
Eps8l3	1	3	0	1	1	0	0	3	0	0	2	1	0	1		
Hace1	148	1478	151	197	1202	1316	1134	190	1349	1134	1288	1285	186	177		
Serpina7	0	0	0	0	0	0	2	1	0	2	0	0	0	0		
Mael	0	3	0	0	2	3	7	0	2	7	3	3	0	1		
Atl1	1472	3058	1363	1732	2451	2459	2569	1734	3006	2569	2704	2847	1830	1335		
Cyp4a12a	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Cep85l	74	1133	58	78	817	859	745	61	1033	745	945	1021	78	81		
Gm10024	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Cryzl2	28	71	29	25	72	78	49	27	57	49	72	78	35	23		
Oosp3	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Prdm6	4	4	4	7	12	8	8	2	17	8	8	14	1	3		
Gm94	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Khdc1c	0	0	0	0	1	0	1	0	0	1	0	0	0	0		
4930415L06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Tubal3	8	0	2	3	0	0	0	3	0	0	0	0	6	7		
Trim71	0	26	3	1	11	20	14	1	16	14	25	13	3	0		
Ercc2	74	240	93	115	190	228	193	86	257	193	241	275	121	83		
Mtpn	1672	14377	1872	2362	12532	12305	12727	1927	13301	12727	12057	12325	2380	1622		
Gc	0	4	0	0	2	1	0	0	0	0	2	1	0	0		
Gba	228	692	218	293	475	613	425	254	481	425	661	510	282	221		
Gata5	3	0	0	0	0	0	0	2	0	0	0	0	1	0		
Olfr1564	0	0	0	0	1	1	1	0	2	1	2	0	0	0		
Top2b	818	4485	859	1031	3593	3565	3840	910	4908	3840	3839	4520	1167	805		
Ccdc17	4	23	3	3	28	36	17	4	32	17	30	25	10	1		
Sult2a6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Gm11780	0	0	0	0	0	0	1	0	0	1	0	0	0	0		
Lrrc14b	1	146	2	3	106	107	108	0	105	108	141	111	0	3		
Ccdc189	14	51	36	34	54	47	21	41	56	21	47	55	39	19		
Themis2	5	17	5	7	10	19	15	4	16	15	21	19	3	6		
Defb42	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Mansc4	0	11	2	2	8	13	13	3	9	13	6	14	0	1		
Ms4a15	0	0	0	0	2	0	2	0	1	2	0	1	0	0		
Foxr2	0	19	0	2	14	17	12	1	19	12	23	19	0	0		
Pnpla1	6	18	4	0	14	15	11	5	12	11	14	10	2	1		
Parp14	21	87	23	22	67	85	65	26	86	65	94	99	21	16		
Shisa6	25	327	30	47	286	280	229	30	292	229	286	283	43	24		
Qrich2	0	6	0	0	0	1	2	3	2	2	2	2	1	1		
Setd1b	120	400	127	213	293	256	395	114	317	395	346	310	198	96		
Kcnh8	7	26	1	7	19	24	17	2	31	17	31	22	6	1		
Odf3l2	1	5	0	2	2	5	3	0	1	3	2	5	0	0		
Cpxcr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Foxr1	0	0	0	0	0	0	0	0	0	0	1	0	0	0		
Klf6	164	1812	178	233	1584	1602	1665	189	1740	1665	1535	1730	242	153		
Cdh20	139	654	131	189	531	538	480	141	540	480	530	558	217	141		
Myrf	140	758	154	218	673	660	600	146	607	600	743	665	241	136		
Brd1	208	1399	197	271	1165	1187	1060	185	1462	1060	1258	1370	242	163		
Pdzd8	212	3541	200	262	3116	3347	2965	192	3374	2965	3055	3211	289	161		
AU021092	13	74	24	23	42	34	23	27	54	23	64	48	20	16		
Nhlrc4	0	3	0	1	1	1	3	0	2	3	3	0	0	0		
Mcu	155	796	150	192	713	802	689	140	744	689	670	715	182	139		
Rnf149	94	610	61	93	466	455	503	87	585	503	524	511	84	80		
Ceacam16	0	8	0	0	8	6	11	1	9	11	9	12	1	0		
Shisa3	0	60	1	2	60	45	42	2	49	42	42	67	4	0		
Rnf224	0	1	0	0	0	0	0	0	0	0	1	0	0	1		
Vmn2r66	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
9130409I23Rik	3	0	0	0	0	0	1	2	0	1	0	0	0	0		
Miip	2	66	7	10	50	51	36	3	48	36	68	49	4	4		
Gsk3a	420	1983	402	472	1570	1762	1453	529	1664	1453	1899	1712	534	423		
Prps1l3	69	481	37	61	349	355	388	78	407	388	401	378	43	48		
Zfp791	26	114	32	48	103	101	107	32	94	107	88	93	51	22		
Lin28b	0	97	2	0	61	79	71	0	104	71	96	102	1	0		
Dhrs7c	0	1	1	0	0	1	2	0	0	2	3	2	0	0		
Zfp787	41	167	33	52	189	212	169	35	178	169	181	221	49	36		
Gpr52	36	1079	54	63	884	848	851	42	909	851	850	829	52	42		
Erich4	0	0	1	0	0	0	0	0	1	0	0	0	0	0		
Gm14137	0	21	0	0	7	14	8	0	14	8	20	9	0	0		
Zfhx2	83	701	75	98	340	335	363	96	414	363	614	431	140	66		
Pate11	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Gm5431	1	4	0	0	2	8	1	0	3	1	7	2	0	0		
Zfyve26	53	651	69	76	486	574	410	64	491	410	572	502	83	51		
Fbxw22	1	1	0	0	0	0	0	0	0	0	0	0	0	0		
Shank1	349	5150	411	569	3458	3332	4184	342	3609	4184	4794	3682	606	328		
Cdkl5	931	3056	925	1188	2348	2677	2474	1006	2841	2474	2634	2930	1307	889		
Taf7l2	1	13	0	0	5	4	4	1	5	4	8	2	0	0		
Trappc1	336	567	295	371	457	562	387	348	459	387	501	458	337	373		
Gm6034	0	0	0	0	1	0	2	0	0	2	0	0	0	0		
Ccdc185	0	0	0	2	0	0	0	0	0	0	0	2	0	1		
